MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	rs10486483	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	www.ncbi.nlm.nih.gov/pubmed/26192919
http://www.ebi.ac.uk/efo/EFO_0003892, http://www.ebi.ac.uk/efo/EFO_0004314	pulmonary function measurement, forced expiratory volume	rs9310995	Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.	www.ncbi.nlm.nih.gov/pubmed/21946350
http://www.ebi.ac.uk/efo/EFO_0004504	serum hepcidin measurement	rs855791	Association of HFE and TMPRSS6 genetic variants with iron and erythrocyte parameters is only in part dependent on serum hepcidin concentrations.	www.ncbi.nlm.nih.gov/pubmed/21785125
http://www.ebi.ac.uk/efo/EFO_0006335	systolic blood pressure	rs4757391	Genome-wide association study in Chinese identifies novel loci for blood pressure and hypertension.	www.ncbi.nlm.nih.gov/pubmed/25249183
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs759250	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0004514	bone quantitative ultrasound measurement	rs9606132	Genome-wide association study meta-analysis for quantitative ultrasound parameters of bone identifies five novel loci for broadband ultrasound attenuation.	www.ncbi.nlm.nih.gov/pubmed/28472463
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs1012583	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0004625	progranulin measurement	rs646776	Genome-wide screen identifies rs646776 near sortilin as a regulator of progranulin levels in human plasma.	www.ncbi.nlm.nih.gov/pubmed/21087763
http://www.ebi.ac.uk/efo/EFO_0008380	perceived unattractiveness to mosquitos measurement	rs9976928	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0003925	cognition	rs12707116	Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.	www.ncbi.nlm.nih.gov/pubmed/29186694
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs180910263	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0004244	response to methotrexate, rheumatoid arthritis, interstitial lung disease	rs6593803	HLA-A 31:01 is not associated with the development of methotrexate pneumonitis in the UK population: results from a genome-wide association study.	www.ncbi.nlm.nih.gov/pubmed/28500057
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs4878639	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0001075, http://purl.obolibrary.org/obo/GO_0072718, http://purl.obolibrary.org/obo/GO_1901555	overall survival, ovarian carcinoma, response to cisplatin, response to paclitaxel	rs4618572	Genome-wide association study evaluating single-nucleotide polymorphisms and outcomes in patients with advanced stage serous ovarian or primary peritoneal cancer: An NRG Oncology/Gynecologic Oncology Group study.	www.ncbi.nlm.nih.gov/pubmed/28935272
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs2590838	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0008317	triglyceride measurement, very low density lipoprotein cholesterol measurement	chr11:116730638	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.orpha.net/ORDO/Orphanet_70589	Bronchopulmonary dysplasia	rs62468577	A genome-wide association study (GWAS) for bronchopulmonary dysplasia.	www.ncbi.nlm.nih.gov/pubmed/23897914
http://www.ebi.ac.uk/efo/EFO_0004833	neutrophil count	rs2271400	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_1001492, http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0004683	atrophic macular degeneration, age-related macular degeneration, wet macular degeneration	rs6565597	A large genome-wide association study of age-related macular degeneration highlights contributions of rare and common variants.	www.ncbi.nlm.nih.gov/pubmed/26691988
http://www.ebi.ac.uk/efo/EFO_0007845	lip morphology measurement	rs148586546	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	www.ncbi.nlm.nih.gov/pubmed/28441456
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	rs7282490	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	www.ncbi.nlm.nih.gov/pubmed/28067908
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs3814881	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	www.ncbi.nlm.nih.gov/pubmed/28991256
http://www.ebi.ac.uk/efo/EFO_0004514	bone quantitative ultrasound measurement	rs597319	Genetic determinants of heel bone properties: genome-wide association meta-analysis and replication in the GEFOS/GENOMOS consortium.	www.ncbi.nlm.nih.gov/pubmed/24430505
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs4851300	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs12900061	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0004748	thyroid stimulating hormone measurement	rs9472138	A meta-analysis of thyroid-related traits reveals novel loci and gender-specific differences in the regulation of thyroid function.	www.ncbi.nlm.nih.gov/pubmed/23408906
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_1001510, http://www.ebi.ac.uk/efo/EFO_0005424	intelligence, specific language impairment, dyslexia	rs59197085	Genome-wide screening for DNA variants associated with reading and language traits.	www.ncbi.nlm.nih.gov/pubmed/25065397
http://www.ebi.ac.uk/efo/EFO_0004748	thyroid stimulating hormone measurement	rs1443438	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0005919	recombination measurement	rs11888485	The landscape of recombination in African Americans.	www.ncbi.nlm.nih.gov/pubmed/21775986
http://www.ebi.ac.uk/efo/EFO_0008404	susceptibility to mumps measurement	rs62162249	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimers disease	rs17366218	A novel Alzheimer disease locus located near the gene encoding tau protein.	www.ncbi.nlm.nih.gov/pubmed/25778476
http://www.ebi.ac.uk/efo/EFO_0006870, http://www.ebi.ac.uk/efo/EFO_0004357	alpha wave measurement, electroencephalogram measurement	rs9478638	Heritability and molecular-genetic basis of resting EEG activity: a genome-wide association study.	www.ncbi.nlm.nih.gov/pubmed/25387704
http://purl.obolibrary.org/obo/HP_0100543, http://www.ebi.ac.uk/efo/EFO_0007710	cognitive impairment, cognitive decline measurement	rs76444744	Variations in the FRA10AC1 Fragile Site and 15q21 Are Associated with Cerebrospinal Fluid Aβ1-42 Level.	www.ncbi.nlm.nih.gov/pubmed/26252872
http://www.ebi.ac.uk/efo/EFO_1000566	Testicular Germ Cell Tumor	rs3782181	Identification of 19 new risk loci and potential regulatory mechanisms influencing susceptibility to testicular germ cell tumor.	www.ncbi.nlm.nih.gov/pubmed/28604728
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs17381664	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0007575	blood aluminium measurement	chr7:73882011	Genome-wide association study of toxic metals and trace elements reveals novel associations.	www.ncbi.nlm.nih.gov/pubmed/26025379
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs34196306	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs138914938	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341	forced expiratory volume, response to bronchodilator, chronic obstructive pulmonary disease	rs2568494	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0008317	triglyceride measurement, very low density lipoprotein cholesterol measurement	rs73059722	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0004337	intelligence	rs7646501	Genome-wide association meta-analysis of 78,308 individuals identifies new loci and genes influencing human intelligence.	www.ncbi.nlm.nih.gov/pubmed/28530673
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio	rs141053791	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs6718203	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0004908	testosterone measurement	rs6258	Genetic determinants of serum testosterone concentrations in men.	www.ncbi.nlm.nih.gov/pubmed/21998597
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs56336142	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.	www.ncbi.nlm.nih.gov/pubmed/26343387
http://purl.obolibrary.org/obo/HP_0100543, http://www.ebi.ac.uk/efo/EFO_0007710	cognitive impairment, cognitive decline measurement	rs73078593	Variations in the FRA10AC1 Fragile Site and 15q21 Are Associated with Cerebrospinal Fluid Aβ1-42 Level.	www.ncbi.nlm.nih.gov/pubmed/26252872
http://www.ebi.ac.uk/efo/EFO_0007924	tonsillectomy risk measurement	rs12141192	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0003785	allergy	rs56129466	Shared genetic origin of asthma, hay fever and eczema elucidates allergic disease biology.	www.ncbi.nlm.nih.gov/pubmed/29083406
http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	rs11210359	Case-case genome-wide association analysis shows markers differentially associated with schizophrenia and bipolar disorder and implicates calcium channel genes.	www.ncbi.nlm.nih.gov/pubmed/21057379
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007015	smoking behavior, 3-hydroxy-1-methylpropylmercapturic acid measurement	rs822203	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	www.ncbi.nlm.nih.gov/pubmed/26053186
http://purl.obolibrary.org/obo/GO_1901556, http://www.ebi.ac.uk/efo/EFO_0000537	response to candesartan, hypertension	rs16838131	Genomic association analysis identifies multiple loci influencing antihypertensive response to an angiotensin II receptor blocker.	www.ncbi.nlm.nih.gov/pubmed/22566498
http://www.ebi.ac.uk/efo/EFO_0000270	asthma	rs6691738	Detection and interpretation of shared genetic influences on 42 human traits.	www.ncbi.nlm.nih.gov/pubmed/27182965
http://www.ebi.ac.uk/efo/EFO_0000717	systemic scleroderma	rs11642873	Identification of novel genetic markers associated with clinical phenotypes of systemic sclerosis through a genome-wide association strategy.	www.ncbi.nlm.nih.gov/pubmed/21779181
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio	rs114407411	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0008229	melanoma-derived growth regulatory protein measurement	rs4803378	Connecting genetic risk to disease end points through the human blood plasma proteome.	www.ncbi.nlm.nih.gov/pubmed/28240269
http://www.ebi.ac.uk/efo/EFO_0007626	emphysema imaging measurement	rs185888204	A Genome-Wide Association Study of Emphysema and Airway Quantitative Imaging Phenotypes.	www.ncbi.nlm.nih.gov/pubmed/26030696
http://www.ebi.ac.uk/efo/EFO_0007869	wellbeing measurement	rs12610177	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	www.ncbi.nlm.nih.gov/pubmed/27089181
http://www.ebi.ac.uk/efo/EFO_0006952, http://purl.obolibrary.org/obo/GO_0097338	cytotoxicity measurement, response to clozapine	rs17662217	Genome-wide association study of lymphoblast cell viability after clozapine exposure.	www.ncbi.nlm.nih.gov/pubmed/25656473
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs16961557	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0008460	colorectal health	rs10193935	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs6030712	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	www.ncbi.nlm.nih.gov/pubmed/25429064
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs13194053	Common variants on chromosome 6p22.1 are associated with schizophrenia.	www.ncbi.nlm.nih.gov/pubmed/19571809
http://www.ebi.ac.uk/efo/EFO_0004810	interleukin-6 measurement	rs199872130	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0007924	tonsillectomy risk measurement	rs6982240	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0008122	eotaxin measurement	rs1402031	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0004713	FEV/FEC ratio	rs72724130	Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets.	www.ncbi.nlm.nih.gov/pubmed/28166213
http://www.ebi.ac.uk/efo/EFO_0004703	age at menarche	rs6933660	Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche.	www.ncbi.nlm.nih.gov/pubmed/25231870
http://www.ebi.ac.uk/efo/EFO_0004746, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary heart disease	rs7412	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	www.ncbi.nlm.nih.gov/pubmed/28753643
http://www.ebi.ac.uk/efo/EFO_0005093	hip circumference	rs663129	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs10878577	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0004842	eosinophil count	rs3184504	Genome-wide association of white blood cell counts in Hispanic/Latino Americans: the Hispanic Community Health Study/Study of Latinos.	www.ncbi.nlm.nih.gov/pubmed/28158719
http://www.ebi.ac.uk/efo/EFO_0004340	body mass index	rs9563576	Genetic studies of body mass index yield new insights for obesity biology.	www.ncbi.nlm.nih.gov/pubmed/25673413
http://www.ebi.ac.uk/efo/EFO_0004703	age at menarche	rs12446632	Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche.	www.ncbi.nlm.nih.gov/pubmed/25231870
http://www.ebi.ac.uk/efo/EFO_0005400	chemotherapy-induced alopecia	rs16830728	A genome-wide association study of chemotherapy-induced alopecia in breast cancer patients.	www.ncbi.nlm.nih.gov/pubmed/24025145
http://www.ebi.ac.uk/efo/EFO_0005131, http://www.ebi.ac.uk/efo/EFO_0005132	HVA measurement, 5-HIAA measurement	rs9460635	Genome-wide association study of monoamine metabolite levels in human cerebrospinal fluid.	www.ncbi.nlm.nih.gov/pubmed/23319000
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs13074132	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	www.ncbi.nlm.nih.gov/pubmed/28991256
http://www.ebi.ac.uk/efo/EFO_0003892	pulmonary function measurement	rs4752066	Genome-wide association study identifies TH1 pathway genes associated with lung function in asthmatic patients.	www.ncbi.nlm.nih.gov/pubmed/23541324
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs4626214	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0006808	arachidonic acid measurement	rs1404384	A genome-wide association study of n-3 and n-6 plasma fatty acids in a Singaporean Chinese population.	www.ncbi.nlm.nih.gov/pubmed/26584805
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs17026855	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0000249	age at onset, Alzheimers disease	rs61510607	Family-based association analyses of imputed genotypes reveal genome-wide significant association of Alzheimer's disease with OSBPL6, PTPRG, and PDCL3.	www.ncbi.nlm.nih.gov/pubmed/26830138
http://www.ebi.ac.uk/efo/EFO_0004246, http://www.ebi.ac.uk/efo/EFO_1000881	mucocutaneous lymph node syndrome, coronary aneurysm	rs11624704	Genome-Wide Association Study Identifies Novel Susceptibility Genes Associated with Coronary Artery Aneurysm Formation in Kawasaki Disease.	www.ncbi.nlm.nih.gov/pubmed/27171184
http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	waist-hip ratio, body mass index	rs2294239	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	rs1535	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	www.ncbi.nlm.nih.gov/pubmed/26192919
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs75890985	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://purl.obolibrary.org/obo/GO_0097336	response to risperidone	rs8050896	Genome-wide association study of patient-rated and clinician-rated global impression of severity during antipsychotic treatment.	www.ncbi.nlm.nih.gov/pubmed/23241943
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs75759008	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004526	mean corpuscular volume	rs2713936	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs78973538	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0005036	platelet measurement	rs2731672	Novel loci involved in platelet function and platelet count identified by a genome-wide study performed in children.	www.ncbi.nlm.nih.gov/pubmed/21546496
http://www.ebi.ac.uk/efo/EFO_0005410	tooth agenesis	rs35956082	Rare and Common Variants Conferring Risk of Tooth Agenesis.	www.ncbi.nlm.nih.gov/pubmed/29364747
http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007969	attention deficit hyperactivity disorder, cognitive inhibition measurement	rs11514810	A new locus regulating MICALL2 expression was identified for association with executive inhibition in children with attention deficit hyperactivity disorder.	www.ncbi.nlm.nih.gov/pubmed/28416812
http://www.ebi.ac.uk/efo/EFO_0000289	bipolar disorder	rs2727943	Genome-wide association study in bipolar patients stratified by co-morbidity.	www.ncbi.nlm.nih.gov/pubmed/22205951
http://www.ebi.ac.uk/efo/EFO_0006336	diastolic blood pressure	rs16833934	Gene-age interactions in blood pressure regulation: a large-scale investigation with the CHARGE, Global BPgen, and ICBP Consortia.	www.ncbi.nlm.nih.gov/pubmed/24954895
http://www.ebi.ac.uk/efo/EFO_0008206	left ventricular systolic function measurement	rs4503939	Large-scale genome-wide analysis identifies genetic variants associated with cardiac structure and function.	www.ncbi.nlm.nih.gov/pubmed/28394258
http://www.ebi.ac.uk/efo/EFO_0001663	prostate carcinoma	rs56005245	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	www.ncbi.nlm.nih.gov/pubmed/27262462
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs36025579	Genome-wide association analysis identifies 30 new susceptibility loci for schizophrenia.	www.ncbi.nlm.nih.gov/pubmed/28991256
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs72749142	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0001663	prostate carcinoma	rs11651052	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	www.ncbi.nlm.nih.gov/pubmed/27262462
http://www.ebi.ac.uk/efo/EFO_0007994	neutrophil percentage of granulocytes	rs7047907	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005111	folic acid measurement	rs4888671	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs188003336	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs2107732	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	www.ncbi.nlm.nih.gov/pubmed/29212778
http://www.ebi.ac.uk/efo/EFO_0004300	longevity	rs7894051	Genetics of aging, health, and survival: dynamic regulation of human longevity related traits.	www.ncbi.nlm.nih.gov/pubmed/25918517
http://www.ebi.ac.uk/efo/EFO_0008331	interleukin 2 measurement	rs2807544	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs114496665	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0007865	loneliness measurement	rs76554764	Genome-Wide Association Study of Loneliness Demonstrates a Role for Common Variation.	www.ncbi.nlm.nih.gov/pubmed/27629369
http://www.ebi.ac.uk/efo/EFO_0004459	ferritin measurement	rs74450770	Genome-wide association study of iron traits and relation to diabetes in the Hispanic Community Health Study/Study of Latinos (HCHS/SOL): potential genomic intersection of iron and glucose regulation?	www.ncbi.nlm.nih.gov/pubmed/28334935
http://www.ebi.ac.uk/efo/EFO_0005133, http://www.ebi.ac.uk/efo/EFO_0005132	MHPG measurement, 5-HIAA measurement	rs79156074	Genome-wide association study of monoamine metabolite levels in human cerebrospinal fluid.	www.ncbi.nlm.nih.gov/pubmed/23319000
http://www.ebi.ac.uk/efo/EFO_0001663	prostate carcinoma	rs9649213 x rs4962416	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	www.ncbi.nlm.nih.gov/pubmed/22219177
http://www.ebi.ac.uk/efo/EFO_0004584	mean platelet volume	rs6136489	A genome-wide meta-analysis identifies 22 loci associated with eight hematological parameters in the HaemGen consortium.	www.ncbi.nlm.nih.gov/pubmed/19820697
http://www.ebi.ac.uk/efo/EFO_0000095	chronic lymphocytic leukemia	rs9271176	Genome-wide association analysis implicates dysregulation of immunity genes in chronic lymphocytic leukaemia.	www.ncbi.nlm.nih.gov/pubmed/28165464
http://www.ebi.ac.uk/efo/EFO_0004784	self reported educational attainment	rs11976020	Genome-wide association study identifies 74 loci associated with educational attainment.	www.ncbi.nlm.nih.gov/pubmed/27225129
http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	rs4802307	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	www.ncbi.nlm.nih.gov/pubmed/26192919
http://www.ebi.ac.uk/efo/EFO_0004584	mean platelet volume	rs7075195	New gene functions in megakaryopoiesis and platelet formation.	www.ncbi.nlm.nih.gov/pubmed/22139419
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs6088792	Many sequence variants affecting diversity of adult human height.	www.ncbi.nlm.nih.gov/pubmed/18391951
